Recom1,Recom2,Recom3,Title,imdb_id
tt6582384,tt5023260,tt4977530,Punching Henry,tt4283414
tt5023260,tt4924942,tt4680980,Rangoon,tt4909752
tt2872518,tt1781058,tt5193408,Tomato Red,tt4927984
tt6125690,tt6223974,tt3899154,Get Out,tt5052448
tt5451054,tt2771200,tt4964310,Spoor,tt5328350
tt4964310,tt3315342,tt5121816,Bitter Harvest,tt3182620
tt5294198,tt3717490,tt5023260,The Man Who Was Too Free,tt6273862
tt5788136,tt3717490,tt3874544,Internet - O Filme,tt6571110
tt5795086,tt4842646,tt5781798,Brain on Fire,tt3704700
tt5781798,tt2771200,tt4964310,A Wedding,tt5771640
tt3501112,tt1740683,tt1691916,Vamps,tt6569546
tt6095616,tt3758708,tt4662420,Lucid Dream,tt6830780
tt5328350,tt4896904,tt5598100,Fare,tt5032468
tt6667360,tt1740683,tt4897358,Trevor Noah: Afraid of the Dark,tt6562866
tt5168832,tt4896904,tt2936884,Major Grom,tt5430888
tt3501112,tt3722062,tt5954088,Britney Ever After,tt5997492
tt2417712,tt6608034,tt5997492,XX,tt3322892
tt6569546,tt3155328,tt4442604,Lovesong,tt4305148
tt6125690,tt4842646,tt4705740,In Dubious Battle,tt4411618
tt5193408,tt4705740,tt3722062,American Fable,tt4671002
tt5771640,tt4827986,tt4283414,Wild Mouse,tt5376196
tt4964310,tt3704700,tt4927984,Have a Nice Day,tt6451304
tt5607714,tt5052448,tt5541848,Fist Fight,tt3401882
tt6442978,tt3520216,tt6569546,"Have Fun, Vasya!",tt5161058
tt2936884,tt6664120,tt5795086,David Lynch: The Art Life,tt1691152
tt4705740,tt1740683,tt6095616,A Cure for Wellness,tt4731136
tt6582384,tt4909752,tt5121816,Handsome Devil,tt5016946
tt6223974,tt4705740,tt5598100,Rock'n Roll,tt5351818
tt1781058,tt4705740,tt1691152,Colo,tt5446444
tt5121816,tt5052448,tt4927984,Alibi.com,tt5657028
tt5442430,tt6569546,tt6830780,New Trial,tt6731636
tt6731636,tt5442430,tt5607714,Girlfriend's Day,tt2962984
tt4927984,tt4283414,tt3899154,The Babymoon,tt4132190
tt6731636,tt2872518,tt5502766,Guardians,tt4600952
tt4705740,tt5607714,tt5490310,Mom or Dad?,tt6340296
tt6582384,tt4935372,tt4943322,Katherine Ryan: In Trouble,tt6540084
tt5788136,tt4442604,tt4680980,From Straight A's to XXX,tt6237208
tt4600952,tt5442430,tt6315800,1 Night,tt4126694
tt6562866,tt5997492,tt3322892,Kedi,tt4420704
tt5121816,tt5997492,tt5430888,Prevenge,tt5154288
tt4909752,tt3182620,tt5328350,Everybody Loves Somebody,tt5537228
tt6223974,tt5537228,tt3717490,"Nick Cannon: Stand Up, Don't Shoot",tt6328086
tt2630352,tt4909752,tt6582384,I Am Jane Doe,tt6398054
tt4909752,tt5032468,tt6830780,Asteria,tt6528206
tt6731636,tt6608034,tt3315342,Fabricated City,tt6399158
tt3704700,tt2398241,tt3520216,The Lego Batman Movie,tt4116284
tt4705740,tt3182620,tt5328350,John Wick: Chapter 2,tt4425200
tt5052448,tt3322892,tt5997492,Fifty Shades Darker,tt4465564
tt6616074,tt2936884,tt3731562,Moontrap: Target Earth,tt3705822
tt4961380,tt4305148,tt3322892,The Covenant,tt5607782
tt3731562,tt2062700,tt1691152,Midday Event,tt6229252
tt6562866,tt5161058,tt3401882,"Michael Bolton's Big, Sexy Valentine's Day Special",tt6343706
